vorhersagezeitpunkt;station_name;ts;value_q;dimension
09.01.2026 10:00;Ewattingen;09.01.2026 10:00;9.13;cbm/s
09.01.2026 10:00;Eberfingen;09.01.2026 10:00;11.346;cbm/s
09.01.2026 10:00;Oberlauchringen;09.01.2026 10:00;11.77;cbm/s
09.01.2026 10:00;Illmuehle;09.01.2026 10:00;6.52;cbm/s
09.01.2026 10:00;Hangkanal-offenesGerinne;09.01.2026 10:00;0.55353;cbm/s
09.01.2026 10:00;Buggenrieder Muehle;09.01.2026 10:00;0.29913;cbm/s
09.01.2026 10:00;Wutachmuendung;09.01.2026 10:00;28.806;cbm/s
09.01.2026 10:00;St-Blasien;09.01.2026 10:00;5.4436;cbm/s
09.01.2026 10:00;Wehra (Pegel);09.01.2026 10:00;2.6889;cbm/s
09.01.2026 10:00;Sammelknoten Biber-Durach;09.01.2026 10:00;4.1668;cbm/s
09.01.2026 10:00;Sammelknoten Volken-Rafzenbach;09.01.2026 10:00;1.2882;cbm/s
09.01.2026 10:00;Sammelknoten Wutach;09.01.2026 10:00;29.83;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Alb;09.01.2026 10:00;4.4137;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Murg;09.01.2026 10:00;1.2274;cbm/s
09.01.2026 10:00;Sammelknoten Wehra;09.01.2026 10:00;8.367;cbm/s
09.01.2026 10:00;Sammelknoten Duerren-Warmbach;09.01.2026 10:00;1.5394;cbm/s
09.01.2026 10:00;Ewattingen;09.01.2026 11:00;8.8191;cbm/s
09.01.2026 10:00;Eberfingen;09.01.2026 11:00;12.006;cbm/s
09.01.2026 10:00;Oberlauchringen;09.01.2026 11:00;12.635;cbm/s
09.01.2026 10:00;Illmuehle;09.01.2026 11:00;6.4114;cbm/s
09.01.2026 10:00;Hangkanal-offenesGerinne;09.01.2026 11:00;0.5537;cbm/s
09.01.2026 10:00;Buggenrieder Muehle;09.01.2026 11:00;0.29937;cbm/s
09.01.2026 10:00;Wutachmuendung;09.01.2026 11:00;29.555;cbm/s
09.01.2026 10:00;St-Blasien;09.01.2026 11:00;5.4279;cbm/s
09.01.2026 10:00;Wehra (Pegel);09.01.2026 11:00;2.6753;cbm/s
